13-12
0_0_0 0_1_0 0_2_0 0_3_0 0_4_0 0_5_0 0_6_0 0_7_0 0_8_0 0_9_0 0_10_0 0_11_1 
1_0_0 1_1_0 1_2_0 1_3_0 1_4_0 1_5_0 1_6_0 1_7_0 1_8_9 1_9_0 1_10_0 1_11_1 
2_0_0 2_1_0 2_2_0 2_3_0 2_4_0 2_5_0 2_6_0 2_7_0 2_8_0 2_9_0 2_10_0 2_11_1 
3_0_0 3_1_0 3_2_0 3_3_0 3_4_0 3_5_0 3_6_0 3_7_0 3_8_0 3_9_0 3_10_0 3_11_1 
4_0_0 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_0 4_7_0 4_8_0 4_9_0 4_10_0 4_11_1 
5_0_0 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_0 5_7_0 5_8_2 5_9_0 5_10_0 5_11_1 
6_0_0 6_1_0 6_2_0 6_3_0 6_4_0 6_5_0 6_6_0 6_7_0 6_8_2 6_9_0 6_10_0 6_11_1 
7_0_0 7_1_0 7_2_0 7_3_0 7_4_0 7_5_0 7_6_0 7_7_0 7_8_2 7_9_0 7_10_0 7_11_1 
8_0_0 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_0 8_7_0 8_8_0 8_9_0 8_10_0 8_11_1 
9_0_0 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_0 9_7_0 9_8_0 9_9_0 9_10_0 9_11_1 
10_0_0 10_1_0 10_2_0 10_3_0 10_4_0 10_5_0 10_6_0 10_7_0 10_8_0 10_9_0 10_10_0 10_11_0 
11_0_0 11_1_0 11_2_0 11_3_0 11_4_0 11_5_0 11_6_0 11_7_0 11_8_0 11_9_0 11_10_0 11_11_0 
12_0_0 12_1_0 12_2_0 12_3_0 12_4_0 12_5_0 12_6_0 12_7_0 12_8_0 12_9_0 12_10_0 12_11_0 
