45-30
0_0_1 0_1_1 0_2_1 0_3_1 0_4_1 0_5_1 0_6_1 0_7_1 0_8_1 0_9_1 0_10_1 0_11_1 0_12_1 0_13_1 0_14_1 0_15_1 0_16_1 0_17_1 0_18_1 0_19_1 0_20_1 0_21_1 0_22_1 0_23_1 0_24_1 0_25_1 0_26_1 0_27_1 0_28_1 0_29_1 
1_0_1 1_1_0 1_2_0 1_3_0 1_4_0 1_5_0 1_6_0 1_7_0 1_8_0 1_9_0 1_10_0 1_11_0 1_12_0 1_13_0 1_14_0 1_15_0 1_16_0 1_17_0 1_18_2 1_19_0 1_20_0 1_21_0 1_22_0 1_23_0 1_24_0 1_25_0 1_26_0 1_27_0 1_28_0 1_29_1 
2_0_1 2_1_0 2_2_0 2_3_0 2_4_0 2_5_0 2_6_0 2_7_0 2_8_0 2_9_0 2_10_0 2_11_0 2_12_0 2_13_0 2_14_0 2_15_0 2_16_0 2_17_0 2_18_0 2_19_0 2_20_0 2_21_0 2_22_0 2_23_2 2_24_0 2_25_9 2_26_0 2_27_0 2_28_0 2_29_1 
3_0_1 3_1_0 3_2_0 3_3_0 3_4_0 3_5_0 3_6_0 3_7_0 3_8_0 3_9_0 3_10_0 3_11_0 3_12_0 3_13_1 3_14_0 3_15_0 3_16_0 3_17_0 3_18_0 3_19_0 3_20_0 3_21_0 3_22_0 3_23_2 3_24_0 3_25_0 3_26_0 3_27_0 3_28_0 3_29_1 
4_0_1 4_1_0 4_2_0 4_3_0 4_4_0 4_5_0 4_6_0 4_7_0 4_8_0 4_9_0 4_10_0 4_11_0 4_12_1 4_13_1 4_14_0 4_15_0 4_16_0 4_17_0 4_18_0 4_19_0 4_20_0 4_21_0 4_22_0 4_23_0 4_24_0 4_25_0 4_26_0 4_27_0 4_28_0 4_29_1 
5_0_1 5_1_0 5_2_0 5_3_0 5_4_0 5_5_0 5_6_0 5_7_0 5_8_0 5_9_0 5_10_0 5_11_1 5_12_1 5_13_1 5_14_0 5_15_0 5_16_0 5_17_0 5_18_0 5_19_0 5_20_0 5_21_0 5_22_0 5_23_0 5_24_0 5_25_0 5_26_0 5_27_2 5_28_0 5_29_1 
6_0_1 6_1_0 6_2_0 6_3_0 6_4_0 6_5_0 6_6_0 6_7_0 6_8_0 6_9_0 6_10_1 6_11_1 6_12_1 6_13_1 6_14_0 6_15_0 6_16_0 6_17_0 6_18_0 6_19_0 6_20_0 6_21_0 6_22_0 6_23_0 6_24_0 6_25_0 6_26_0 6_27_2 6_28_0 6_29_1 
7_0_1 7_1_0 7_2_0 7_3_0 7_4_0 7_5_0 7_6_0 7_7_0 7_8_0 7_9_0 7_10_0 7_11_0 7_12_0 7_13_0 7_14_0 7_15_0 7_16_0 7_17_0 7_18_0 7_19_0 7_20_0 7_21_0 7_22_0 7_23_0 7_24_0 7_25_2 7_26_0 7_27_0 7_28_0 7_29_1 
8_0_1 8_1_0 8_2_0 8_3_0 8_4_0 8_5_0 8_6_0 8_7_0 8_8_0 8_9_0 8_10_0 8_11_0 8_12_0 8_13_0 8_14_0 8_15_0 8_16_0 8_17_0 8_18_0 8_19_0 8_20_0 8_21_0 8_22_0 8_23_0 8_24_0 8_25_2 8_26_0 8_27_0 8_28_0 8_29_1 
9_0_1 9_1_0 9_2_0 9_3_0 9_4_0 9_5_0 9_6_0 9_7_0 9_8_0 9_9_1 9_10_0 9_11_0 9_12_0 9_13_0 9_14_0 9_15_0 9_16_0 9_17_0 9_18_0 9_19_0 9_20_0 9_21_0 9_22_0 9_23_0 9_24_0 9_25_0 9_26_0 9_27_0 9_28_0 9_29_1 
10_0_1 10_1_0 10_2_0 10_3_0 10_4_0 10_5_0 10_6_0 10_7_0 10_8_1 10_9_0 10_10_0 10_11_0 10_12_0 10_13_0 10_14_0 10_15_0 10_16_0 10_17_0 10_18_0 10_19_0 10_20_0 10_21_0 10_22_0 10_23_0 10_24_0 10_25_0 10_26_0 10_27_0 10_28_0 10_29_1 
11_0_1 11_1_0 11_2_0 11_3_0 11_4_0 11_5_0 11_6_0 11_7_1 11_8_0 11_9_0 11_10_0 11_11_0 11_12_0 11_13_0 11_14_0 11_15_0 11_16_0 11_17_0 11_18_0 11_19_0 11_20_0 11_21_0 11_22_0 11_23_0 11_24_0 11_25_0 11_26_0 11_27_0 11_28_0 11_29_1 
12_0_1 12_1_0 12_2_0 12_3_0 12_4_0 12_5_0 12_6_1 12_7_0 12_8_0 12_9_0 12_10_0 12_11_0 12_12_0 12_13_0 12_14_0 12_15_0 12_16_0 12_17_0 12_18_0 12_19_0 12_20_0 12_21_0 12_22_0 12_23_0 12_24_0 12_25_0 12_26_0 12_27_0 12_28_0 12_29_1 
13_0_1 13_1_0 13_2_0 13_3_0 13_4_0 13_5_1 13_6_0 13_7_0 13_8_0 13_9_0 13_10_0 13_11_0 13_12_0 13_13_0 13_14_0 13_15_0 13_16_0 13_17_0 13_18_0 13_19_0 13_20_0 13_21_0 13_22_0 13_23_0 13_24_0 13_25_0 13_26_0 13_27_0 13_28_1 13_29_1 
14_0_1 14_1_0 14_2_0 14_3_0 14_4_0 14_5_0 14_6_0 14_7_0 14_8_0 14_9_0 14_10_0 14_11_0 14_12_0 14_13_0 14_14_0 14_15_0 14_16_0 14_17_0 14_18_0 14_19_0 14_20_0 14_21_0 14_22_0 14_23_0 14_24_0 14_25_0 14_26_0 14_27_1 14_28_1 14_29_1 
15_0_1 15_1_0 15_2_0 15_3_0 15_4_0 15_5_0 15_6_0 15_7_0 15_8_0 15_9_0 15_10_0 15_11_0 15_12_0 15_13_0 15_14_0 15_15_0 15_16_0 15_17_0 15_18_0 15_19_0 15_20_0 15_21_0 15_22_0 15_23_0 15_24_0 15_25_0 15_26_0 15_27_0 15_28_0 15_29_0 
16_0_1 16_1_0 16_2_0 16_3_0 16_4_0 16_5_0 16_6_0 16_7_0 16_8_0 16_9_0 16_10_0 16_11_0 16_12_0 16_13_0 16_14_0 16_15_0 16_16_0 16_17_0 16_18_0 16_19_0 16_20_0 16_21_0 16_22_0 16_23_0 16_24_0 16_25_0 16_26_0 16_27_0 16_28_0 16_29_0 
17_0_1 17_1_0 17_2_0 17_3_0 17_4_0 17_5_0 17_6_0 17_7_0 17_8_0 17_9_0 17_10_0 17_11_0 17_12_0 17_13_0 17_14_0 17_15_0 17_16_0 17_17_0 17_18_0 17_19_0 17_20_0 17_21_0 17_22_0 17_23_0 17_24_0 17_25_0 17_26_0 17_27_0 17_28_0 17_29_0 
18_0_1 18_1_0 18_2_0 18_3_0 18_4_0 18_5_0 18_6_0 18_7_0 18_8_0 18_9_0 18_10_0 18_11_0 18_12_0 18_13_0 18_14_0 18_15_0 18_16_0 18_17_0 18_18_0 18_19_0 18_20_0 18_21_0 18_22_0 18_23_0 18_24_0 18_25_0 18_26_0 18_27_1 18_28_1 18_29_1 
19_0_1 19_1_0 19_2_0 19_3_0 19_4_0 19_5_0 19_6_0 19_7_0 19_8_0 19_9_0 19_10_0 19_11_0 19_12_0 19_13_0 19_14_0 19_15_0 19_16_0 19_17_0 19_18_0 19_19_0 19_20_0 19_21_0 19_22_0 19_23_0 19_24_0 19_25_0 19_26_0 19_27_0 19_28_1 19_29_1 
20_0_1 20_1_0 20_2_0 20_3_0 20_4_0 20_5_0 20_6_0 20_7_0 20_8_0 20_9_0 20_10_0 20_11_0 20_12_0 20_13_0 20_14_0 20_15_0 20_16_0 20_17_0 20_18_0 20_19_0 20_20_0 20_21_0 20_22_0 20_23_0 20_24_0 20_25_0 20_26_0 20_27_0 20_28_0 20_29_1 
21_0_1 21_1_0 21_2_0 21_3_0 21_4_0 21_5_0 21_6_0 21_7_0 21_8_0 21_9_0 21_10_0 21_11_0 21_12_0 21_13_0 21_14_0 21_15_0 21_16_0 21_17_0 21_18_0 21_19_0 21_20_0 21_21_0 21_22_0 21_23_0 21_24_0 21_25_0 21_26_0 21_27_0 21_28_0 21_29_1 
22_0_1 22_1_0 22_2_0 22_3_0 22_4_0 22_5_0 22_6_0 22_7_0 22_8_0 22_9_0 22_10_0 22_11_0 22_12_0 22_13_0 22_14_0 22_15_0 22_16_0 22_17_0 22_18_0 22_19_0 22_20_0 22_21_0 22_22_0 22_23_0 22_24_0 22_25_0 22_26_0 22_27_0 22_28_0 22_29_1 
23_0_1 23_1_0 23_2_0 23_3_0 23_4_0 23_5_0 23_6_0 23_7_0 23_8_0 23_9_0 23_10_0 23_11_0 23_12_0 23_13_0 23_14_0 23_15_0 23_16_0 23_17_0 23_18_0 23_19_0 23_20_0 23_21_0 23_22_0 23_23_0 23_24_0 23_25_0 23_26_0 23_27_0 23_28_0 23_29_1 
24_0_1 24_1_0 24_2_0 24_3_0 24_4_0 24_5_0 24_6_0 24_7_0 24_8_0 24_9_0 24_10_0 24_11_0 24_12_0 24_13_0 24_14_0 24_15_0 24_16_0 24_17_0 24_18_0 24_19_0 24_20_0 24_21_0 24_22_0 24_23_0 24_24_0 24_25_0 24_26_0 24_27_0 24_28_0 24_29_1 
25_0_1 25_1_0 25_2_0 25_3_0 25_4_0 25_5_0 25_6_0 25_7_0 25_8_0 25_9_0 25_10_0 25_11_0 25_12_0 25_13_0 25_14_0 25_15_0 25_16_0 25_17_0 25_18_0 25_19_0 25_20_0 25_21_0 25_22_0 25_23_0 25_24_0 25_25_0 25_26_0 25_27_0 25_28_0 25_29_1 
26_0_1 26_1_0 26_2_0 26_3_0 26_4_0 26_5_0 26_6_0 26_7_0 26_8_0 26_9_0 26_10_0 26_11_0 26_12_0 26_13_0 26_14_0 26_15_0 26_16_0 26_17_0 26_18_0 26_19_0 26_20_0 26_21_0 26_22_0 26_23_0 26_24_0 26_25_0 26_26_0 26_27_0 26_28_0 26_29_1 
27_0_1 27_1_0 27_2_0 27_3_0 27_4_0 27_5_0 27_6_0 27_7_0 27_8_0 27_9_0 27_10_0 27_11_0 27_12_0 27_13_0 27_14_0 27_15_0 27_16_0 27_17_0 27_18_0 27_19_0 27_20_0 27_21_0 27_22_0 27_23_0 27_24_0 27_25_0 27_26_0 27_27_0 27_28_0 27_29_1 
28_0_1 28_1_0 28_2_0 28_3_0 28_4_0 28_5_0 28_6_0 28_7_0 28_8_0 28_9_0 28_10_0 28_11_0 28_12_0 28_13_0 28_14_0 28_15_0 28_16_0 28_17_0 28_18_0 28_19_0 28_20_0 28_21_0 28_22_0 28_23_0 28_24_0 28_25_0 28_26_0 28_27_0 28_28_0 28_29_0 
29_0_1 29_1_0 29_2_0 29_3_0 29_4_0 29_5_0 29_6_0 29_7_0 29_8_0 29_9_0 29_10_0 29_11_0 29_12_0 29_13_0 29_14_0 29_15_0 29_16_0 29_17_0 29_18_0 29_19_0 29_20_0 29_21_0 29_22_0 29_23_0 29_24_0 29_25_0 29_26_0 29_27_0 29_28_0 29_29_0 
30_0_1 30_1_0 30_2_0 30_3_0 30_4_0 30_5_0 30_6_0 30_7_0 30_8_0 30_9_0 30_10_0 30_11_0 30_12_0 30_13_0 30_14_0 30_15_0 30_16_0 30_17_0 30_18_0 30_19_0 30_20_0 30_21_0 30_22_2 30_23_0 30_24_0 30_25_0 30_26_0 30_27_0 30_28_0 30_29_0 
31_0_1 31_1_0 31_2_0 31_3_0 31_4_0 31_5_0 31_6_0 31_7_0 31_8_0 31_9_0 31_10_0 31_11_0 31_12_0 31_13_0 31_14_0 31_15_0 31_16_0 31_17_0 31_18_0 31_19_0 31_20_0 31_21_0 31_22_2 31_23_0 31_24_0 31_25_0 31_26_0 31_27_0 31_28_0 31_29_0 
32_0_1 32_1_0 32_2_0 32_3_0 32_4_0 32_5_0 32_6_0 32_7_0 32_8_0 32_9_0 32_10_0 32_11_0 32_12_0 32_13_0 32_14_0 32_15_0 32_16_0 32_17_0 32_18_0 32_19_0 32_20_0 32_21_0 32_22_0 32_23_0 32_24_0 32_25_0 32_26_0 32_27_0 32_28_0 32_29_2 
33_0_1 33_1_0 33_2_0 33_3_0 33_4_0 33_5_0 33_6_0 33_7_0 33_8_0 33_9_0 33_10_0 33_11_0 33_12_0 33_13_0 33_14_0 33_15_0 33_16_0 33_17_0 33_18_0 33_19_0 33_20_0 33_21_0 33_22_0 33_23_0 33_24_0 33_25_0 33_26_0 33_27_0 33_28_0 33_29_2 
34_0_1 34_1_0 34_2_0 34_3_0 34_4_0 34_5_0 34_6_0 34_7_0 34_8_0 34_9_0 34_10_0 34_11_0 34_12_0 34_13_0 34_14_0 34_15_0 34_16_0 34_17_0 34_18_0 34_19_0 34_20_0 34_21_0 34_22_0 34_23_0 34_24_0 34_25_0 34_26_0 34_27_2 34_28_0 34_29_0 
35_0_1 35_1_0 35_2_0 35_3_0 35_4_0 35_5_0 35_6_0 35_7_0 35_8_0 35_9_0 35_10_0 35_11_0 35_12_0 35_13_0 35_14_0 35_15_0 35_16_0 35_17_0 35_18_0 35_19_0 35_20_0 35_21_0 35_22_0 35_23_0 35_24_0 35_25_0 35_26_0 35_27_2 35_28_0 35_29_0 
36_0_1 36_1_0 36_2_0 36_3_0 36_4_0 36_5_0 36_6_0 36_7_0 36_8_0 36_9_0 36_10_0 36_11_0 36_12_0 36_13_0 36_14_0 36_15_0 36_16_0 36_17_0 36_18_0 36_19_0 36_20_0 36_21_0 36_22_0 36_23_0 36_24_0 36_25_2 36_26_0 36_27_0 36_28_0 36_29_0 
37_0_1 37_1_0 37_2_0 37_3_0 37_4_0 37_5_0 37_6_0 37_7_0 37_8_0 37_9_0 37_10_0 37_11_0 37_12_0 37_13_0 37_14_0 37_15_0 37_16_0 37_17_0 37_18_0 37_19_0 37_20_0 37_21_0 37_22_0 37_23_0 37_24_0 37_25_2 37_26_0 37_27_0 37_28_0 37_29_0 
38_0_1 38_1_0 38_2_0 38_3_0 38_4_0 38_5_0 38_6_0 38_7_0 38_8_0 38_9_1 38_10_1 38_11_0 38_12_0 38_13_0 38_14_0 38_15_0 38_16_0 38_17_0 38_18_0 38_19_0 38_20_0 38_21_0 38_22_0 38_23_2 38_24_0 38_25_0 38_26_0 38_27_0 38_28_0 38_29_0 
39_0_1 39_1_0 39_2_0 39_3_0 39_4_0 39_5_0 39_6_0 39_7_0 39_8_0 39_9_1 39_10_1 39_11_0 39_12_0 39_13_0 39_14_0 39_15_0 39_16_0 39_17_0 39_18_0 39_19_0 39_20_0 39_21_0 39_22_0 39_23_2 39_24_0 39_25_0 39_26_0 39_27_0 39_28_0 39_29_0 
40_0_1 40_1_0 40_2_0 40_3_0 40_4_0 40_5_0 40_6_0 40_7_0 40_8_0 40_9_1 40_10_1 40_11_0 40_12_0 40_13_0 40_14_0 40_15_0 40_16_0 40_17_0 40_18_2 40_19_0 40_20_0 40_21_2 40_22_0 40_23_0 40_24_0 40_25_0 40_26_0 40_27_0 40_28_0 40_29_0 
41_0_1 41_1_0 41_2_0 41_3_0 41_4_0 41_5_0 41_6_0 41_7_0 41_8_0 41_9_7 41_10_1 41_11_0 41_12_0 41_13_0 41_14_0 41_15_0 41_16_0 41_17_0 41_18_2 41_19_0 41_20_0 41_21_2 41_22_0 41_23_0 41_24_0 41_25_0 41_26_0 41_27_0 41_28_0 41_29_0 
42_0_1 42_1_0 42_2_0 42_3_0 42_4_0 42_5_0 42_6_0 42_7_0 42_8_0 42_9_7 42_10_1 42_11_0 42_12_0 42_13_0 42_14_0 42_15_2 42_16_0 42_17_0 42_18_0 42_19_0 42_20_0 42_21_2 42_22_0 42_23_0 42_24_0 42_25_0 42_26_0 42_27_0 42_28_0 42_29_0 
43_0_1 43_1_0 43_2_0 43_3_0 43_4_0 43_5_0 43_6_0 43_7_0 43_8_0 43_9_7 43_10_1 43_11_0 43_12_0 43_13_0 43_14_0 43_15_2 43_16_0 43_17_0 43_18_0 43_19_0 43_20_0 43_21_2 43_22_0 43_23_0 43_24_0 43_25_0 43_26_0 43_27_0 43_28_0 43_29_0 
44_0_1 44_1_1 44_2_1 44_3_1 44_4_1 44_5_1 44_6_1 44_7_1 44_8_1 44_9_1 44_10_1 44_11_1 44_12_1 44_13_1 44_14_1 44_15_1 44_16_1 44_17_1 44_18_1 44_19_1 44_20_1 44_21_1 44_22_1 44_23_1 44_24_1 44_25_1 44_26_1 44_27_1 44_28_1 44_29_1 
